date,name,new_cases,new_cases_per_ten_thousand,first_dose,fully_vaccinated
29/05/2021,Selangor,2836,,253704,139317
29/05/2021,Sabah,265,,134897,83680
29/05/2021,Kuala Lumpur,789,,301849,94397
29/05/2021,Johor,468,,164091,88252
29/05/2021,Sarawak,726,,187869,102786
29/05/2021,Pulau Pinang,345,,87370,71666
29/05/2021,Kelantan,907,,81488,48578
29/05/2021,Negeri Sembilan,898,,73105,51195
29/05/2021,Perak,272,,149550,94214
29/05/2021,Kedah,468,,108536,64337
29/05/2021,Melaka,340,,45905,34845
29/05/2021,Pahang,216,,101125,72600
29/05/2021,Terengganu,189,,70091,42817
29/05/2021,Labuan,253,,13784,11259
29/05/2021,Putrajaya,29,,20964,10835
29/05/2021,Perlis,19,,28012,18930
30/05/2021,Selangor,2477,,,
30/05/2021,Sabah,190,,,
30/05/2021,Kuala Lumpur,616,,,
30/05/2021,Johor,433,,,
30/05/2021,Sarawak,513,,,
30/05/2021,Pulau Pinang,248,,,
30/05/2021,Kelantan,612,,,
30/05/2021,Negeri Sembilan,468,,,
30/05/2021,Perak,212,,,
30/05/2021,Kedah,422,,,
30/05/2021,Melaka,202,,,
30/05/2021,Pahang,239,,,
30/05/2021,Terengganu,214,,,
30/05/2021,Labuan,133,,,
30/05/2021,Putrajaya,13,,,
30/05/2021,Perlis,7,,,
